branch_id,time_s,spectral_abscissa_s_inv,numerical_abscissa_s_inv,dominant_frequency_s_inv,dominant_mode_condition_number,dominant_right_constitutive_fraction,dominant_left_constitutive_fraction,adjacent_leader_rotation_deg,adjacent_commutator
onset_x,9.6875e-06,8.055535085930178,105457913171.60953,1.2963323052651891e-11,197240.4730967765,0.9999999473150316,1.0,0.14676489647129867,7.737155246338442e-08
onset_x,1e-05,7.939381638052914,105497480294.89977,9.0382238766768e-12,203549.60129657935,0.9999999556101913,1.0,0.13014259186801738,7.710920538770255e-08
onset_x,1.0625e-05,7.671600870081836,105582965633.07156,1.4368790332941087e-11,215204.1290026179,0.9999999680215457,1.0,0.21997944813462292,2.2823384350508185e-07
onset_x,1.125e-05,7.4959508446259315,105676595348.7968,8.075504866600693e-12,226160.67483459707,0.9999999765327462,1.0,0.1768862537800684,1.517838699663771e-07
onset_x,1.1875e-05,7.345332683112302,105778496548.51556,8.838355279784968e-12,236197.35753791573,0.9999999825137807,0.9999999999999998,0.14450888964854525,1.5093960768538804e-07
onset_x,1.25e-05,7.215998512232221,105888667567.33482,2.5370656403832305e-11,245335.1957429499,0.9999999867987843,1.0,0.11949854645306192,1.5013293554896665e-07
onset_x,1.3125e-05,7.104946611358204,106007107383.7552,3.512470563091374e-11,253599.56534028545,0.9999999899210197,1.0,0.0998814061500294,1.493460501932042e-07
onset_x,1.375e-05,7.009744638028523,106133815426.08269,1.2150809556602885e-11,261019.1456398682,0.9999999922300808,1.0,0.0842845568760524,1.4856773092345764e-07
onset_x,1.4375000000000002e-05,6.848538518655434,106269106645.33122,5.360191839558406e-12,267168.61187124904,0.9999999939676976,1.0,0.07205164627982477,2.692344630522617e-07
onset_x,1.5000000000000002e-05,6.7831749970739486,106412356236.80185,2.6690163304652288e-11,273002.20757558435,0.9999999952778595,1.0,0.06148881811817928,1.4357681350832506e-07
onset_x,1.5625e-05,6.7284441260822705,106563873206.13141,2.244883835478142e-11,278091.1282288908,0.9999999962813806,1.0,0.053104739862370305,1.4287967082756693e-07
onset_x,1.6250000000000002e-05,6.683227750273933,106723658053.9466,3.964131292216848e-12,282470.1485078906,0.9999999970571087,1.0,0.04615545603089223,1.4216622117068517e-07
onset_x,1.6875e-05,6.646570523641768,106891711473.88538,7.503316122638736e-13,286174.3688334002,0.9999999976616476,1.0,0.04034841384984677,1.4144090820605753e-07
onset_x,1.7500000000000002e-05,6.617657415256834,107068034282.6867,1.062501352736764e-11,289238.95995753474,0.999999998136176,0.9999999999999998,0.035459728934864494,1.407025961658449e-07
onset_x,1.8125000000000003e-05,6.595789619051464,107252627361.48001,1.9412086084833566e-11,291698.90119241143,0.999999998511018,1.0,0.031315957384460066,1.399505482758948e-07
