case_id,shear,time_s,cauchy_shear_Pa,first_piola_shear_Pa,temperature_K,temperature_rise_K,plastic_work_J_m3,generated_heat_J_m3,stored_energy_J_m3
rate_1e4_T373,0.08750000000000001,8.750000000000001e-06,493205977.7225598,493205977.7225598,386.6218700090775,13.47187000907752,37388244.828712575,33649420.34584131,3738824.4828712572
rate_1e4_T373,0.1,1e-05,491549938.92981476,491549938.92981476,388.85778175114007,15.70778175114009,43593531.516551495,39234178.364896335,4359353.1516551515
rate_1e4_T373,0.125,1.25e-05,489035657.7415378,489035657.7415378,393.3064309587528,20.15643095875282,55939789.7286051,50345810.75574454,5593978.972860519
rate_1e4_T373,0.15000000000000002,1.5000000000000002e-05,487166394.60154986,487166394.60154986,397.7323716691482,24.582371669148245,68223025.44615033,61400722.9015352,6822302.5446150405
rate_1e4_T373,0.17500000000000002,1.7500000000000002e-05,485619071.24227995,485619071.24227995,402.1413476644563,28.991347664456327,80459179.28711145,72413261.3584003,8045917.928711155
rate_1e4_T373,0.2,2e-05,484240088.52052706,484240088.52052706,406.53628274721575,33.38628274721577,92656365.62945183,83390729.06650668,9265636.56294519
rate_1e4_T373,0.275,2.75e-05,480418348.2752615,480418348.2752615,419.6485993355279,46.4985993355279,129046748.14836453,116142073.33352806,12904674.814836456
rate_1e4_T373,0.35,3.5e-05,476507950.75371665,476507950.75371665,432.6570721504633,59.50707215046333,165148934.8622172,148634041.37599516,16514893.486221727
rate_1e4_T373,0.425,4.2499999999999996e-05,472310270.7949301,472310270.7949301,445.5568726308786,72.40687263087864,200949525.1498542,180854572.63486838,20094952.51498543
rate_1e4_T373,0.5,5e-05,467832433.46991116,467832433.46991116,458.3401574945892,85.19015749458924,236426751.68763766,212784076.5188734,23642675.168763768
rate_1e4_T373,0.625,6.25e-05,459907935.8589029,459907935.8589029,479.3683318655709,106.21833186557092,294785875.6365295,265307288.07287604,29478587.56365301
rate_1e4_T373,0.75,7.5e-05,451652385.74151963,451652385.74151963,500.03172718496705,126.88172718496708,352132634.6739536,316919371.2065588,35213263.467395455
rate_1e4_T373,0.875,8.75e-05,443282491.6409904,443282491.6409904,520.3198439215399,147.16984392153995,408437889.63480353,367594100.671323,40843788.96348037
rate_1e4_T373,1.0,0.0001,434943081.6622462,434943081.6622462,540.2306545235039,167.08065452350388,463696013.49012285,417326412.14111066,46369601.34901231
rate_1e4_T373,1.1,0.00011,428264757.3296413,428264757.3296413,555.8902795910458,182.7402795910458,507155896.60632336,456440306.9456916,50715589.660632305
rate_1e4_T373,1.2,0.00011999999999999999,421514868.8974294,421514868.8974294,571.3148218920786,198.16482189207863,549963358.6389334,494967022.7750408,54996335.86389337
rate_1e4_T373,1.2999999999999998,0.00013,415205336.8931063,415205336.8931063,586.506301815499,213.35630181549902,592124006.7378691,532911606.06408244,59212400.67378697
rate_1e4_T373,1.4,0.00014,409032573.2165851,409032573.2165851,601.4710390468618,228.32103904686187,633655379.815735,570289841.8341614,63365537.98157355
