branch_id,horizon_id,time_s,norm_id,selector_id,input_dimension,output_dimension,log_gain
onset_y,terminal,0.00014,mechanical_x0.5,full_to_constitutive,69,63,9.939399618665973
onset_y,terminal,0.00014,mechanical_x0.5,constitutive_to_full,63,69,9.939415043154606
onset_y,terminal,0.00014,mechanical_x0.5,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,mechanical_x0.5,mechanical_to_constitutive,6,63,1.228708287712998
onset_y,terminal,0.00014,mechanical_x0.5,constitutive_to_temperature,63,1,4.380974579652316
onset_y,terminal,0.00014,mechanical_x2,full_to_full,69,69,9.939400787306171
onset_y,terminal,0.00014,mechanical_x2,constitutive_to_constitutive,63,63,9.939399605084102
onset_y,terminal,0.00014,mechanical_x2,full_to_constitutive,69,63,9.939399822394018
onset_y,terminal,0.00014,mechanical_x2,constitutive_to_full,63,69,9.939400569977472
onset_y,terminal,0.00014,mechanical_x2,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,mechanical_x2,mechanical_to_constitutive,6,63,2.615002648832889
onset_y,terminal,0.00014,mechanical_x2,constitutive_to_temperature,63,1,4.380974579652316
onset_y,terminal,0.00014,thermal_x0.5,full_to_full,69,69,9.939365962897526
onset_y,terminal,0.00014,thermal_x0.5,constitutive_to_constitutive,63,63,9.939362049159174
onset_y,terminal,0.00014,thermal_x0.5,full_to_constitutive,69,63,9.939362103493252
onset_y,terminal,0.00014,thermal_x0.5,constitutive_to_full,63,69,9.939365908550618
onset_y,terminal,0.00014,thermal_x0.5,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,thermal_x0.5,mechanical_to_constitutive,6,63,1.921878590051222
onset_y,terminal,0.00014,thermal_x0.5,constitutive_to_temperature,63,1,5.073962641297988
onset_y,terminal,0.00014,thermal_x2,full_to_full,69,69,9.939636441648826
onset_y,terminal,0.00014,thermal_x2,constitutive_to_constitutive,63,63,9.939632527727538
onset_y,terminal,0.00014,thermal_x2,full_to_constitutive,69,63,9.939632582029096
onset_y,terminal,0.00014,thermal_x2,constitutive_to_full,63,69,9.939636387334447
onset_y,terminal,0.00014,thermal_x2,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,thermal_x2,mechanical_to_constitutive,6,63,1.9218496876636042
onset_y,terminal,0.00014,thermal_x2,constitutive_to_temperature,63,1,3.6884633688558135
onset_y,terminal,0.00014,dislocation_x0.5,full_to_full,69,69,9.246531880421665
onset_y,terminal,0.00014,dislocation_x0.5,constitutive_to_constitutive,63,63,9.246527803593782
onset_y,terminal,0.00014,dislocation_x0.5,full_to_constitutive,69,63,9.246528020784083
onset_y,terminal,0.00014,dislocation_x0.5,constitutive_to_full,63,69,9.24653166315828
onset_y,terminal,0.00014,dislocation_x0.5,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,dislocation_x0.5,mechanical_to_constitutive,6,63,1.9218555545974774
onset_y,terminal,0.00014,dislocation_x0.5,constitutive_to_temperature,63,1,3.688628179048671
onset_y,terminal,0.00014,dislocation_x2,full_to_full,69,69,10.632481790334417
onset_y,terminal,0.00014,dislocation_x2,constitutive_to_constitutive,63,63,10.63247791718603
onset_y,terminal,0.00014,dislocation_x2,full_to_constitutive,69,63,10.632477930769772
onset_y,terminal,0.00014,dislocation_x2,constitutive_to_full,63,69,10.632481776747808
onset_y,terminal,0.00014,dislocation_x2,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,dislocation_x2,mechanical_to_constitutive,6,63,1.9218554466918076
onset_y,terminal,0.00014,dislocation_x2,constitutive_to_temperature,63,1,5.073921364672427
onset_y,terminal,0.00014,plastic_kinematic_x0.5,full_to_full,69,69,10.632533047559804
onset_y,terminal,0.00014,plastic_kinematic_x0.5,constitutive_to_constitutive,63,63,10.632532028324094
onset_y,terminal,0.00014,plastic_kinematic_x0.5,full_to_constitutive,69,63,10.632532082652556
onset_y,terminal,0.00014,plastic_kinematic_x0.5,constitutive_to_full,63,69,10.632532993228105
onset_y,terminal,0.00014,plastic_kinematic_x0.5,mechanical_to_mechanical,6,6,6.834481708569259
